iter	RMSE
0	0.9482877749
1	0.9090841321
2	0.8721649952
3	0.8402431222
4	0.807586763
5	0.7808571249
6	0.7530947219
7	0.7331122366
8	0.7143677237
9	0.6937927561
10	0.6744550833
11	0.6571678018
12	0.6416908942
13	0.6276912163
14	0.6153102782
15	0.5999900991
16	0.5851230524
17	0.5735040197
18	0.5587673464
19	0.546779215
20	0.5369206573
21	0.5266018992
22	0.5179926795
23	0.5110883916
24	0.5035155804
25	0.4948770442
26	0.4869675454
27	0.4795350026
28	0.4741092394
29	0.4678814705
30	0.4618960799
31	0.4561006499
32	0.4504305961
33	0.4439520199
34	0.4382786485
35	0.4331626799
36	0.4284022387
37	0.4237286569
38	0.4201717021
39	0.4166301422
40	0.413069898
41	0.4092639758
42	0.4056682121
43	0.4020702718
44	0.3986840756
45	0.3946072304
46	0.3922596894
47	0.3894809677
48	0.3864690272
49	0.384565979
50	0.382438437
51	0.3806564058
52	0.3786053427
53	0.3765919308
54	0.3741648098
55	0.3723900531
56	0.3704834568
57	0.3685693725
58	0.3667039643
59	0.3646388646
60	0.3624180115
61	0.3608611031
62	0.3593701511
63	0.3575677733
64	0.3561720544
65	0.3546883307
66	0.3533696262
67	0.3514614099
68	0.3499731246
69	0.3486109508
70	0.3473600315
71	0.3459701243
72	0.3445568766
73	0.3431781904
74	0.3421408172
75	0.341613823
76	0.3400112181
77	0.3390549813
78	0.3378563327
79	0.3368254625
80	0.3359257044
81	0.3349900002
82	0.3333635871
83	0.3327412754
84	0.3317912815
85	0.3310328061
86	0.3305315122
87	0.3297960164
88	0.3293575243
89	0.328942569
90	0.3278071188
91	0.3270856526
92	0.3258540366
93	0.3248776847
94	0.3236403529
95	0.3227852829
96	0.3224005842
97	0.3220363589
98	0.3212355088
99	0.320357383
100	0.3200157869
101	0.3196923752
102	0.3188847718
103	0.318165271
104	0.3172114372
105	0.3161125445
106	0.3149911719
107	0.3140720968
108	0.3131433815
109	0.3128672225
110	0.3120194416
111	0.3112052738
112	0.3105531393
113	0.3096924202
114	0.3089197268
115	0.308219735
116	0.307426887
117	0.3070947516
118	0.3063012674
119	0.3056550897
120	0.3047846135
121	0.3040548157
122	0.3034115463
123	0.3027940024
124	0.3024743722
125	0.3019997489
126	0.3015714276
127	0.3012634237
128	0.3007704592
129	0.3001212728
130	0.2995646441
131	0.2990955932
132	0.2985776793
