iter	Passed	Remaining
424	1907	2581
425	1912	2576
426	1915	2570
427	1919	2565
428	1923	2560
429	1927	2554
430	1931	2549
431	1935	2544
432	1939	2540
433	1943	2534
434	1947	2530
435	1952	2525
436	1956	2520
437	1960	2515
438	1964	2509
439	1968	2505
440	1972	2500
441	1976	2494
442	1980	2490
443	1984	2485
444	1988	2480
445	1992	2475
446	1996	2470
447	2000	2465
448	2005	2460
449	2009	2455
450	2013	2450
451	2017	2446
452	2021	2441
453	2025	2436
454	2029	2431
455	2033	2426
456	2038	2421
457	2042	2416
458	2046	2411
459	2050	2407
460	2054	2402
461	2059	2397
462	2063	2392
463	2067	2388
464	2071	2383
465	2075	2378
466	2079	2373
467	2083	2368
468	2087	2363
469	2091	2358
470	2095	2353
471	2099	2348
472	2103	2343
473	2107	2338
474	2110	2332
475	2114	2327
476	2118	2322
477	2122	2317
478	2126	2312
479	2129	2307
480	2133	2302
481	2137	2297
482	2141	2292
483	2145	2287
484	2149	2282
485	2153	2277
486	2157	2272
487	2161	2267
488	2165	2262
489	2169	2257
490	2173	2252
491	2177	2247
492	2180	2242
493	2184	2237
494	2188	2232
495	2192	2227
496	2196	2222
497	2199	2217
498	2203	2212
499	2207	2207
500	2211	2202
501	2215	2197
502	2219	2193
503	2223	2188
504	2227	2183
505	2231	2178
506	2235	2173
507	2238	2168
508	2242	2163
509	2246	2158
510	2250	2153
511	2254	2148
512	2258	2144
513	2262	2139
514	2266	2134
515	2270	2129
516	2274	2124
517	2278	2119
518	2281	2114
519	2285	2109
520	2289	2105
521	2293	2100
522	2297	2095
523	2301	2090
524	2304	2085
525	2308	2080
526	2313	2076
527	2317	2071
528	2321	2066
529	2325	2062
530	2329	2057
531	2333	2052
532	2337	2048
533	2341	2043
534	2346	2039
535	2350	2034
536	2354	2029
537	2358	2025
538	2362	2020
539	2366	2016
540	2370	2011
541	2374	2006
542	2379	2002
543	2383	1997
544	2387	1993
545	2391	1988
546	2395	1983
547	2399	1979
548	2403	1974
549	2407	1970
550	2411	1965
551	2416	1960
552	2420	1956
553	2424	1951
554	2428	1946
555	2432	1942
556	2436	1937
557	2440	1933
558	2444	1928
559	2448	1923
560	2452	1919
561	2456	1914
562	2460	1910
563	2465	1905
564	2469	1901
565	2473	1896
566	2477	1892
567	2481	1887
568	2485	1882
569	2489	1877
570	2493	1873
571	2496	1868
572	2500	1863
573	2504	1858
574	2508	1854
575	2512	1849
576	2516	1844
577	2520	1839
578	2523	1835
579	2527	1830
580	2531	1825
581	2535	1821
582	2539	1816
583	2543	1811
584	2547	1807
585	2551	1802
586	2555	1797
587	2559	1793
588	2563	1788
589	2567	1783
590	2571	1779
591	2574	1774
592	2578	1769
593	2582	1765
594	2586	1760
595	2590	1755
596	2594	1751
597	2598	1746
598	2602	1742
599	2606	1737
600	2610	1732
601	2613	1728
602	2617	1723
603	2621	1718
604	2625	1714
605	2629	1709
606	2633	1704
607	2637	1700
608	2640	1695
609	2644	1690
610	2648	1686
611	2652	1681
612	2655	1676
613	2659	1672
614	2663	1667
615	2667	1662
616	2671	1658
617	2675	1653
618	2679	1649
619	2682	1644
620	2686	1639
621	2690	1635
622	2694	1630
623	2698	1625
624	2702	1621
625	2706	1616
626	2710	1612
627	2714	1608
628	2718	1603
629	2723	1599
630	2727	1594
631	2731	1590
632	2735	1586
633	2739	1581
634	2744	1577
635	2748	1573
636	2752	1568
637	2757	1564
638	2761	1559
639	2765	1555
640	2769	1551
641	2773	1546
642	2777	1542
643	2782	1537
644	2787	1534
645	2791	1529
646	2795	1525
647	2800	1520
648	2804	1516
649	2808	1512
650	2813	1508
651	2817	1503
652	2821	1499
653	2825	1494
654	2829	1490
655	2833	1486
656	2837	1481
657	2842	1477
658	2845	1472
659	2849	1468
660	2854	1463
661	2858	1459
662	2862	1454
663	2866	1450
664	2870	1446
665	2874	1441
666	2878	1437
667	2882	1432
668	2886	1428
669	2890	1423
670	2894	1419
671	2898	1414
672	2902	1410
673	2906	1405
674	2910	1401
675	2914	1396
676	2917	1392
677	2921	1387
678	2925	1383
679	2929	1378
680	2933	1374
681	2937	1369
682	2941	1365
683	2945	1360
684	2949	1356
685	2952	1351
686	2956	1346
687	2960	1342
688	2964	1338
689	2968	1333
690	2972	1329
691	2976	1324
692	2980	1320
693	2983	1315
694	2987	1311
695	2991	1306
696	2995	1302
697	2999	1297
698	3003	1293
699	3008	1289
700	3011	1284
701	3015	1280
702	3020	1275
703	3024	1271
704	3028	1267
705	3031	1262
706	3036	1258
707	3039	1253
708	3043	1249
709	3047	1244
710	3051	1240
711	3055	1235
712	3059	1231
713	3063	1227
714	3068	1222
715	3072	1218
716	3076	1214
717	3080	1209
718	3084	1205
719	3088	1200
720	3092	1196
721	3096	1192
722	3100	1187
723	3104	1183
724	3109	1179
725	3113	1174
726	3116	1170
727	3120	1166
728	3125	1161
729	3129	1157
730	3133	1153
731	3138	1149
732	3142	1144
733	3147	1140
734	3151	1136
735	3156	1132
736	3160	1127
737	3164	1123
738	3168	1119
739	3173	1114
740	3177	1110
741	3181	1106
742	3185	1101
743	3189	1097
744	3193	1093
745	3197	1088
746	3201	1084
747	3205	1079
748	3209	1075
749	3213	1071
750	3217	1066
751	3222	1062
752	3226	1058
753	3230	1053
754	3234	1049
755	3238	1045
756	3243	1041
757	3246	1036
758	3250	1032
759	3254	1027
760	3258	1023
761	3262	1019
762	3266	1014
763	3270	1010
764	3274	1005
765	3279	1001
766	3282	997
767	3287	992
768	3291	988
769	3295	984
770	3299	980
771	3303	975
772	3307	971
773	3312	967
774	3316	962
775	3320	958
776	3324	954
777	3328	949
778	3332	945
779	3336	940
780	3340	936
781	3344	932
782	3348	928
783	3353	923
784	3357	919
785	3361	915
786	3366	911
787	3370	906
788	3374	902
789	3378	898
790	3383	893
791	3388	889
792	3394	886
793	3400	882
794	3405	878
795	3409	873
796	3414	869
797	3418	865
798	3422	860
799	3427	856
800	3431	852
801	3435	848
802	3440	843
803	3444	839
804	3448	835
805	3453	831
806	3458	827
807	3462	822
808	3467	818
809	3471	814
810	3475	809
811	3479	805
812	3484	801
813	3488	797
814	3492	792
815	3496	788
816	3500	784
817	3505	779
818	3509	775
819	3513	771
820	3517	766
821	3521	762
822	3525	758
823	3529	753
824	3534	749
825	3537	745
826	3542	740
827	3546	736
828	3550	732
829	3554	728
830	3558	723
831	3562	719
832	3566	715
833	3571	710
834	3574	706
835	3578	702
836	3583	697
837	3587	693
838	3591	689
839	3595	684
840	3599	680
841	3604	676
842	3607	671
843	3612	667
844	3616	663
845	3620	659
846	3624	654
847	3628	650
848	3632	646
849	3635	641
850	3640	637
851	3644	632
852	3647	628
853	3651	624
854	3655	619
855	3659	615
856	3663	611
857	3667	607
858	3671	602
859	3675	598
860	3679	594
861	3683	589
862	3687	585
863	3691	581
864	3694	576
865	3698	572
866	3702	567
867	3706	563
868	3709	559
869	3713	554
870	3717	550
871	3721	546
872	3725	541
873	3729	537
874	3732	533
875	3736	528
876	3740	524
877	3744	520
878	3748	515
879	3751	511
880	3755	507
881	3759	502
882	3763	498
883	3767	494
884	3771	490
885	3775	485
886	3779	481
887	3783	477
888	3787	472
889	3790	468
890	3795	464
891	3799	460
892	3805	455
893	3809	451
894	3814	447
895	3818	443
896	3822	438
897	3827	434
898	3831	430
899	3835	426
900	3839	421
901	3843	417
902	3847	413
903	3851	409
904	3855	404
905	3859	400
906	3863	396
907	3867	391
908	3872	387
909	3876	383
910	3880	379
911	3884	374
912	3890	370
913	3894	366
914	3898	362
915	3902	357
916	3906	353
917	3910	349
918	3914	345
919	3918	340
920	3922	336
921	3926	332
922	3931	327
923	3935	323
924	3939	319
925	3943	315
926	3947	310
927	3952	306
928	3956	302
929	3960	298
930	3964	293
931	3968	289
932	3972	285
933	3976	280
934	3980	276
935	3984	272
936	3989	268
937	3993	263
938	3997	259
939	4001	255
940	4005	251
941	4009	246
942	4013	242
943	4017	238
944	4021	234
945	4024	229
946	4029	225
947	4032	221
948	4036	216
949	4040	212
950	4044	208
951	4048	204
952	4051	199
953	4055	195
954	4059	191
955	4063	187
956	4067	182
957	4070	178
958	4074	174
959	4078	169
960	4082	165
961	4086	161
962	4090	157
963	4094	152
964	4098	148
965	4101	144
966	4106	140
967	4109	135
968	4113	131
969	4117	127
970	4121	123
971	4125	118
972	4129	114
973	4133	110
974	4136	106
975	4140	101
976	4144	97
977	4148	93
978	4152	89
979	4156	84
980	4160	80
981	4164	76
982	4168	72
983	4172	67
984	4176	63
985	4179	59
986	4184	55
987	4187	50
988	4191	46
989	4195	42
990	4199	38
991	4203	33
992	4208	29
993	4212	25
994	4216	21
995	4221	16
996	4225	12
997	4228	8
998	4233	4
999	4237	0
